key,b,se,n,r2,stata_key,stata_block,stata_var,stata_log
T5_Bnc_c3,0.28167109406460933,0.08510722170837964,1444.0,0.42745881740343916,"('d_sh_unempl_edu_nc', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_Bnc_c4,0.8308285736805645,0.21058339210684368,1444.0,0.4903770500278306,"('d_sh_nilf_edu_nc', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_note_emppop_all,-0.774226676443655,0.17580957269500364,1444.0,0.2518590105833992,"('d_sh_empl', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_note_emppop_col,-0.423560617654028,0.12251331320566866,1444.0,0.158511869912348,"('d_sh_empl_edu_c', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_note_emppop_nc,-1.112499988376051,0.2518886842274625,1444.0,0.3356885799404945,"('d_sh_empl_edu_nc', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T6_A_c1,-0.7592166789102363,0.2525726055261625,1444.0,0.5602625218834956,"('d_avg_lnwkwage', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T6_A_c2,-0.8921300138777537,0.29374009237396104,1444.0,0.4413520656860461,"('d_avg_lnwkwage_m', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T6_A_c3,-0.6139640229917274,0.23743716722381314,1444.0,0.691946795794361,"('d_avg_lnwkwage_f', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T6_B_c1,-0.7568220913926513,0.30842215034066867,1444.0,0.5155272370819184,"('d_avg_lnwkwage_c', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T6_B_c2,-0.9905088898622472,0.37408685640150136,1444.0,0.3875081980139159,"('d_avg_lnwkwage_c_m', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
