table,col,term,coef,se,N,r2,se_type,formula,note
IV,10,kinship_score,-0.3883559937563597,0.19766205075361684,1156,0.2190459566584202,{'CRV1': 'cluster'},s_hierabovelocal ~ kinship_score + small_scale,
IV,11,kinship_score,-0.36781632749244275,0.12157756912678928,1146,0.3134289827697534,{'CRV1': 'cluster'},s_hierabovelocal ~ kinship_score + small_scale + ln_time_obs_ea | cont,
IV,12,kinship_score,-0.25758020473221277,0.13638726147608113,1146,0.4944252209673937,{'CRV1': 'cluster'},s_hierabovelocal ~ kinship_score + small_scale + ln_time_obs_ea | isonum,
IV,13,kinship_score,0.8328093830011446,0.12385608177813336,1151,0.08923555225541835,{'CRV1': 'cluster'},s_hierlocal_village ~ kinship_score + small_scale,
IV,14,kinship_score,0.8734317766822609,0.12055425417633162,1141,0.09676088489494483,{'CRV1': 'cluster'},s_hierlocal_village ~ kinship_score + small_scale + ln_time_obs_ea | cont,
IV,15,kinship_score,0.7640277396399431,0.14963142574780733,1141,0.30626186002268474,{'CRV1': 'cluster'},s_hierlocal_village ~ kinship_score + small_scale + ln_time_obs_ea | isonum,
V,1,kinship_score,-0.34148554361353783,0.12993880013202294,2468,0.795343428065351,{'CRV1': 'cluster'},s_moral_god ~ kinship_score + small_scale | match,
V,2,kinship_score,-0.3800937853722094,0.12375474260253613,2465,0.8024293746980318,{'CRV1': 'cluster'},s_moral_god ~ kinship_score + small_scale + ln_time_obs_ea + s_have_god | match,
V,2,s_have_god,0.1213109627000932,0.03546843348836639,2465,0.8024293746980318,{'CRV1': 'cluster'},s_moral_god ~ kinship_score + small_scale + ln_time_obs_ea + s_have_god | match,
V,3,kinship_score,-0.006632574304059979,0.09002267678988453,7582,0.7498908700127633,{'CRV1': 'cluster'},s_hierabovelocal ~ kinship_score + small_scale | match,
V,4,kinship_score,-0.028131247962260252,0.08275482462724809,7573,0.7543622175073841,{'CRV1': 'cluster'},s_hierabovelocal ~ kinship_score + small_scale + ln_time_obs_ea | match,
V,5,kinship_score,0.6393078539290372,0.19674358824164148,7601,0.5993925396963998,{'CRV1': 'cluster'},s_hierlocal_village ~ kinship_score + small_scale | match,
V,6,kinship_score,0.6535160819034598,0.1941307973980822,7592,0.6023129041788531,{'CRV1': 'cluster'},s_hierlocal_village ~ kinship_score + small_scale + ln_time_obs_ea | match,
XI,1,kinship_score,0.6009286134875274,0.29763446523921566,1172,0.03371274981632344,{'CRV1': 'cluster'},s_ln_popd ~ kinship_score,
XI,2,kinship_score,-0.2620225010364831,0.17466852170975947,1171,0.48360115068907117,{'CRV1': 'cluster'},s_ln_popd ~ kinship_score + small_scale + ln_time_obs_ea | cont,
XI,2,small_scale,-1.4111067131011272,0.20304493020572603,1171,0.48360115068907117,{'CRV1': 'cluster'},s_ln_popd ~ kinship_score + small_scale + ln_time_obs_ea | cont,
XI,3,kinship_score,0.9433680644510295,0.259249674225609,1186,0.08433242310275613,{'CRV1': 'cluster'},s_settlement_patterns ~ kinship_score,
XI,4,kinship_score,0.24102653413885144,0.14630303568732497,1176,0.4556178949244355,{'CRV1': 'cluster'},s_settlement_patterns ~ kinship_score + small_scale + ln_time_obs_ea | cont,
XI,4,small_scale,-2.5072709245392977,0.19794589788357944,1176,0.4556178949244355,{'CRV1': 'cluster'},s_settlement_patterns ~ kinship_score + small_scale + ln_time_obs_ea | cont,
