estimate,se,ci_lower,ci_upper,pvalue,tstat,nobs,r_squared,controls,se_type,subset,model,y_transform,spec_id,significant,outcome,N
1.18805831682903,0.3908819969200709,0.40846875584841,1.9676478778096498,0.0033317697582022246,3.0394296135157353,74,0.1490624626890783,"small_scale, ln_time_obs_ea",hc1,Full Sample,OLS,Level,2,True,s_gps_punish_revenge,74
0.8309988841511282,0.4903551079924327,-0.14859805623150912,1.8105958245337654,0.09499571812277004,1.6946879324931035,74,0.29022980491870043,"small_scale, ln_time_obs_ea, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,3,False,s_gps_punish_revenge,74
1.185030875585599,0.4446722994589003,0.2979339105548733,2.0721278406163246,0.009580023372695163,2.6649532184208558,74,0.14906926139540855,"small_scale, ln_time_obs_ea, malariaindex",hc1,Full Sample,OLS,Level,4,True,s_gps_punish_revenge,74
0.42527507641797807,0.4744269044362122,-0.5211807013905629,1.3717308542265192,0.37315733559592845,0.8963974691177264,74,0.26137563993755386,"small_scale, ln_time_obs_ea, lngdp",hc1,Full Sample,OLS,Level,5,False,s_gps_punish_revenge,74
0.949546792808034,0.44404726232190933,0.06346427675818611,1.835629308857882,0.03608066467460893,2.13839127808802,74,0.1858258128595821,"small_scale, ln_time_obs_ea, cath00, muslim00",hc1,Full Sample,OLS,Level,6,True,s_gps_punish_revenge,74
0.38700747859320944,0.5064863447802823,-0.6257745619073216,1.3997895190937404,0.44775179853578206,0.7641024927554488,74,0.3996655144153711,"small_scale, ln_time_obs_ea, lngdp, cath00, muslim00, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,7,False,s_gps_punish_revenge,74
0.9476471086268191,0.47792612604059936,-0.008680860648050959,1.903975077901689,0.05204804659218936,1.9828317746042563,61,0.06870158017133476,(none),hc1,Full Sample,OLS,Level,0,False,s_values_uniform,61
0.944867360854543,0.4853449559515792,-0.026656123315432323,1.9163908450245184,0.05640755757485368,1.9467954683942537,61,0.06894787161364235,small_scale,hc1,Full Sample,OLS,Level,1,False,s_values_uniform,61
0.9362827314240925,0.49021135768951335,-0.045348580101306935,1.9179140429494919,0.0611750514642958,1.9099572393365654,61,0.07028285257892353,"small_scale, ln_time_obs_ea",hc1,Full Sample,OLS,Level,2,False,s_values_uniform,61
0.6146109510404398,0.5565853839951189,-0.502780832663168,1.7320027347440476,0.27466632267806057,1.104252768243425,61,0.24565317868001468,"small_scale, ln_time_obs_ea, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,3,False,s_values_uniform,61
