var,coef,se,N,year,min95,max95,panel
nh_1862,0.007901216820256315,0.01351785859814303,182706,1862,-0.018720144759017968,0.0345225783995306,B. Non-Hunan
nh_1863,0.01411147739008368,0.011370525972306155,182706,1863,-0.008281039964467852,0.03650399474463521,B. Non-Hunan
nh_1864,-0.012341962094156248,0.0263697070898074,182706,1864,-0.06427307988775041,0.03958915569943792,B. Non-Hunan
nh_1865,-0.018680944191548456,0.02439553596737063,182706,1865,-0.0667242329412014,0.02936234455810449,B. Non-Hunan
nh_1866,-0.03655829892930274,0.03922556942422398,182706,1866,-0.11380707758856767,0.04069047972996218,B. Non-Hunan
nh_1867,0.009844663381075947,0.02051948543731112,182706,1867,-0.030565334791441745,0.050254661553593635,B. Non-Hunan
nh_1868,0.02207667810783975,0.012876513399591807,182706,1868,-0.0032816518822367455,0.047435008097916245,B. Non-Hunan
nh_1869,-0.005318301395977447,0.016304249375095437,182706,1869,-0.03742703479793043,0.026790432005975532,B. Non-Hunan
nh_1870,0.014973954182094571,0.019429877221283014,182706,1870,-0.023290226730386318,0.053238135094575464,B. Non-Hunan
nh_1871,0.008114253014397324,0.00942940075569718,182706,1871,-0.010455514169569248,0.026684020198363897,B. Non-Hunan
nh_1872,-0.006298397975087348,0.010143665931642015,182706,1872,-0.026274801526364605,0.013678005576189908,B. Non-Hunan
nh_1873,-0.01823071827628997,0.017119998986101514,182706,1873,-0.051945946168111955,0.015484509615532015,B. Non-Hunan
nh_1874,-0.015257328675575029,0.007833670680945527,182706,1874,-0.030684548761976772,0.00016989141082671307,B. Non-Hunan
nh_1875,0.009783903407869367,0.014134796601105537,182706,1875,-0.018052423510006434,0.03762023032574517,B. Non-Hunan
nh_1876,0.020923076919531956,0.015080098874939272,182706,1876,-0.008774878706081252,0.05062103254514516,B. Non-Hunan
nh_1877,0.0001805954886601406,0.008525626703244228,182706,1877,-0.016609326488194916,0.0169705174655152,B. Non-Hunan
nh_1878,0.005565379221910361,0.012246419603057388,182706,1878,-0.018552077099854153,0.029682835543674874,B. Non-Hunan
nh_1879,0.031455848207754517,0.025907248862306536,182706,1879,-0.01956452861305702,0.08247622502856605,B. Non-Hunan
nh_1880,0.004340891403002217,0.0163722455889255,182706,1880,-0.027901750175401165,0.0365835329814056,B. Non-Hunan
nh_1881,-0.0031614251221891688,0.016309724596296104,182706,1881,-0.03528094113754584,0.0289580908931675,B. Non-Hunan
nh_1882,-0.025542390172175144,0.04528632687060878,182706,1882,-0.11472690660033887,0.06364212625598857,B. Non-Hunan
nh_1883,-0.031189286787259535,0.04213523137817082,182706,1883,-0.11416820105839699,0.05178962748387793,B. Non-Hunan
