py,gap,gap_se,provid,year,n_princeling,g_xi,g_insp,treat_xi
82014,-0.3463356824472735,0.14938426030367605,8,2014,23,2014,2014,1.0
82015,-0.25451192184528615,0.1377534799552143,8,2015,18,2014,2014,1.0
82016,-0.20689024596345917,0.2478253404356398,8,2016,6,2014,2014,1.0
92006,-0.40244120059706046,0.02538658356705033,9,2006,3,2013,2014,0.0
92007,-0.7230722118137347,0.36342036620909207,9,2007,6,2013,2014,0.0
92008,-0.7696549757955357,0.10780731714190657,9,2008,9,2013,2014,0.0
92009,-0.8134823461543853,0.11225500910691098,9,2009,8,2013,2014,0.0
92010,-1.09050960468396,0.1374828153794352,9,2010,11,2013,2014,0.0
92011,-0.8206507302429403,0.08269946306488904,9,2011,12,2013,2014,0.0
92012,-1.0058435997038313,0.06591679858835042,9,2012,11,2013,2014,0.0
92013,-0.42633812560537304,0.13062128567238931,9,2013,7,2013,2014,1.0
92015,-0.7794100302752456,0.3790148730980199,9,2015,3,2013,2014,1.0
102007,-0.855050511906207,0.11708275122840942,10,2007,15,0,2014,0.0
102008,-0.6037136684641905,0.18595257989304234,10,2008,11,0,2014,0.0
102009,-0.9153748072890472,0.061252518812858106,10,2009,98,0,2014,0.0
102010,-0.8930509530201154,0.05211866817475161,10,2010,121,0,2014,0.0
102011,-0.7647639288464593,0.05308987046705889,10,2011,122,0,2014,0.0
102012,-0.6898610711401274,0.022897520046563175,10,2012,267,0,2014,0.0
102013,-0.726582204263806,0.06795279421203082,10,2013,56,0,2014,0.0
102014,-0.6325459566746996,0.0754987396369533,10,2014,55,0,2014,0.0
102015,-0.4962187396113956,0.09059594016953879,10,2015,41,0,2014,0.0
102016,-0.7133581907796062,0.19721196806252564,10,2016,15,0,2014,0.0
112007,-0.9597136881462354,0.11560946203046821,11,2007,21,2013,2014,0.0
112008,-0.6570057609917914,0.19679993830588471,11,2008,15,2013,2014,0.0
112009,-0.8949806323031523,0.01651993788876573,11,2009,317,2013,2014,0.0
112010,-0.8158194528313275,0.047090494457311546,11,2010,111,2013,2014,0.0
112011,-0.7483174128933926,0.02235073225369164,11,2011,225,2013,2014,0.0
112012,-0.836778478683345,0.09769812941361537,11,2012,20,2013,2014,0.0
112013,-0.46016975823371525,0.08791272158415801,11,2013,53,2013,2014,1.0
112014,-0.4261526423044296,0.10038698592728416,11,2014,28,2013,2014,1.0
112015,-0.7483504547831431,0.04347404716843178,11,2015,72,2013,2014,1.0
112016,-0.14106418053821734,0.7859862380520877,11,2016,3,2013,2014,1.0
122007,-1.1651847478185378,0.13364147797827378,12,2007,39,2016,2013,0.0
122008,-0.9886046046843457,0.042303991728302036,12,2008,118,2016,2013,0.0
122009,-0.997707512899306,0.03215351831159546,12,2009,100,2016,2013,0.0
122010,-0.9290619557850355,0.042949123785992784,12,2010,142,2016,2013,0.0
122011,-1.0660129001179066,0.02973435747549696,12,2011,189,2016,2013,0.0
122012,-0.6663517631073785,0.053570894283860325,12,2012,67,2016,2013,0.0
122013,-0.7559380586265255,0.14695876943268887,12,2013,25,2016,2013,0.0
122014,-0.4842960238771003,0.16150800705921178,12,2014,15,2016,2013,0.0
122015,-0.8193821958339551,0.10489767406425725,12,2015,21,2016,2013,0.0
122016,-0.2302778821339293,0.16520589131444696,12,2016,7,2016,2013,1.0
132007,-0.5131331542707446,0.2954227304868245,13,2007,8,2013,2014,0.0
132008,-0.831314824010073,0.10902696299646457,13,2008,28,2013,2014,0.0
132009,-0.5674105137081404,0.08122806014672403,13,2009,18,2013,2014,0.0
132010,-0.610148464983522,0.12845480366938805,13,2010,35,2013,2014,0.0
132011,-0.5857626960489499,0.0879940288283376,13,2011,53,2013,2014,0.0
132012,-0.8577682177315744,0.15381935321521767,13,2012,26,2013,2014,0.0
132013,-0.5541281558439164,0.0680362944530556,13,2013,42,2013,2014,1.0
132014,-0.3193505476349761,0.1788535180887777,13,2014,12,2013,2014,1.0
132015,-0.29467157321697535,0.16616092284410716,13,2015,14,2013,2014,1.0
132016,-0.4670039800927376,0.11070862962618916,13,2016,7,2013,2014,1.0
