table,panel,outcome,unrest,column,event_time,term,coef,se
VII,A,ALL,event_hat_lasso,6,-5,base,-1.2068073645538067,0.42970847611525226
VII,A,ALL,event_hat_lasso,6,-5,public security,-0.04699816075743508,0.5447475090674052
VII,A,ALL,event_hat_lasso,6,-4,base,-1.2015910088268396,0.38339135317532186
VII,A,ALL,event_hat_lasso,6,-4,public security,0.0675486727025547,0.5183349998862853
VII,A,ALL,event_hat_lasso,6,-3,base,-0.8861650792356044,0.31970016655986927
VII,A,ALL,event_hat_lasso,6,-3,public security,-0.024213326236114524,0.5004734038691127
VII,A,ALL,event_hat_lasso,6,-2,base,-0.4116751105850372,0.17196731943695814
VII,A,ALL,event_hat_lasso,6,-2,public security,-0.8198382548679578,0.42449158684175153
VII,A,ALL,event_hat_lasso,6,0,base,0.39699872536609243,0.33358662556936614
VII,A,ALL,event_hat_lasso,6,0,public security,0.705229521829716,0.28308604361098955
VII,A,ALL,event_hat_lasso,6,1,base,0.07307211995847307,0.6027575537940117
VII,A,ALL,event_hat_lasso,6,1,public security,2.2751169140289575,0.7688833448606082
VII,A,ALL,event_hat_lasso,6,2,base,0.835723263262513,0.7144490878062143
VII,A,ALL,event_hat_lasso,6,2,public security,2.7326248179131443,0.9233734623592429
VII,A,ALL,event_hat_lasso,6,3,base,0.9840521070584813,0.7530135187334897
VII,A,ALL,event_hat_lasso,6,3,public security,3.35553483070083,1.0261290278660224
VII,A,ALL,event_hat_lasso,6,4,base,1.5114956450373402,0.8327106585862611
VII,A,ALL,event_hat_lasso,6,4,public security,4.053950889301123,1.4117079506137427
VII,A,ALL,event_hat_lasso,6,5,base,2.2008768350517247,0.8795084526563518
VII,A,ALL,event_hat_lasso,6,5,public security,4.600146127144282,1.4164665612574974
VII,A,ALL,event_hat_lasso,6,6,base,3.1753786511485953,1.0533420580319315
VII,A,ALL,event_hat_lasso,6,6,public security,4.821860117850727,1.5939832869535027
VII,A,ALL,event_hat_lasso,6,7,base,4.0118409999359255,1.2083818588510165
VII,A,ALL,event_hat_lasso,6,7,public security,5.906177686616478,2.1005316323283325
VII,A,ALL,event_hat_lasso,6,8,base,5.474002280643103,1.2898964460839752
VII,A,ALL,event_hat_lasso,6,8,public security,6.313583717040954,1.5420046106865621
VII,B,GOVERNMENT,event,1,-8,base,1.628254660389106,1.005398473236705
VII,B,GOVERNMENT,event,1,-8,public security,-0.11794229712862203,0.45233420803789864
VII,B,GOVERNMENT,event,1,-7,base,1.3252109287638358,0.9198981433931336
VII,B,GOVERNMENT,event,1,-7,public security,-0.4072240091258806,0.3625490204855534
VII,B,GOVERNMENT,event,1,-6,base,0.8169810377321716,0.660990806840089
VII,B,GOVERNMENT,event,1,-6,public security,-0.020089743193715266,0.31482401493102047
VII,B,GOVERNMENT,event,1,-5,base,0.2933574579833664,0.35326395808929795
VII,B,GOVERNMENT,event,1,-5,public security,0.32515834107037395,0.3084183252872418
VII,B,GOVERNMENT,event,1,-4,base,0.13955782309573916,0.273809424948397
VII,B,GOVERNMENT,event,1,-4,public security,0.2241516022026497,0.29203407475964804
VII,B,GOVERNMENT,event,1,-3,base,0.11517773919589853,0.12368474412220333
VII,B,GOVERNMENT,event,1,-3,public security,0.17398347202340067,0.25084579376501925
VII,B,GOVERNMENT,event,1,-2,base,-0.2649759659574719,0.09641989748606289
VII,B,GOVERNMENT,event,1,-2,public security,-0.07647308284533981,0.233723354918925
VII,B,GOVERNMENT,event,1,0,base,-0.09362394779214488,0.30148632995491714
VII,B,GOVERNMENT,event,1,0,public security,0.5419894222700805,0.3286843084116926
VII,B,GOVERNMENT,event,1,1,base,0.023092553657282872,0.3787235328928657
VII,B,GOVERNMENT,event,1,1,public security,1.0839820657267523,0.512084771195
VII,B,GOVERNMENT,event,1,2,base,-0.2041222132902702,0.4277083321567402
VII,B,GOVERNMENT,event,1,2,public security,1.5489144343225385,0.5154344830120723
VII,B,GOVERNMENT,event,1,3,base,-0.09189932960819577,0.6376418699976125
VII,B,GOVERNMENT,event,1,3,public security,1.7646232948981553,0.800491671359306
VII,B,GOVERNMENT,event,1,4,base,0.20174856999493845,0.7440490634667695
VII,B,GOVERNMENT,event,1,4,public security,1.8069205928283365,1.0055495964954881
VII,B,GOVERNMENT,event,1,5,base,0.29677618995067445,0.826057800053103
VII,B,GOVERNMENT,event,1,5,public security,1.8255963285345924,1.1445670367719085
VII,B,GOVERNMENT,event,1,6,base,0.628042043149237,1.0843894013777746
VII,B,GOVERNMENT,event,1,6,public security,1.864057027674261,1.3131400822713322
VII,B,GOVERNMENT,event,1,7,base,0.8589752667637931,1.2330314151873591
VII,B,GOVERNMENT,event,1,7,public security,2.340909306580321,1.7516400143157476
VII,B,GOVERNMENT,event,1,8,base,1.2581732014152225,0.8011568178174954
VII,B,GOVERNMENT,event,1,8,public security,2.229749845912465,1.3295372017107883
VII,B,GOVERNMENT,event,2,-8,base,0.859910553493452,0.6353722227401001
VII,B,GOVERNMENT,event,2,-8,public security,0.23060439267655333,0.5957043451291796
VII,B,GOVERNMENT,event,2,-7,base,0.6629766369075366,0.5515004156097404
VII,B,GOVERNMENT,event,2,-7,public security,-0.1177629129499892,0.4927976826850999
VII,B,GOVERNMENT,event,2,-6,base,0.5087399989950862,0.5289563282898099
VII,B,GOVERNMENT,event,2,-6,public security,0.09727919124020495,0.4904583119884578
VII,B,GOVERNMENT,event,2,-5,base,0.1686740815557998,0.3087127617276797
VII,B,GOVERNMENT,event,2,-5,public security,0.16358806236825701,0.49332005652568256
VII,B,GOVERNMENT,event,2,-4,base,0.09381577277010696,0.29838576952129364
VII,B,GOVERNMENT,event,2,-4,public security,0.07701797376619508,0.45356166295896344
VII,B,GOVERNMENT,event,2,-3,base,0.11202422001248344,0.15713383900500535
VII,B,GOVERNMENT,event,2,-3,public security,0.16368361109839905,0.2789771572162082
VII,B,GOVERNMENT,event,2,-2,base,-0.2775475899468589,0.12578802139513967
VII,B,GOVERNMENT,event,2,-2,public security,0.1310206016642958,0.40610003712856974
VII,B,GOVERNMENT,event,2,0,base,0.43918697792799777,0.2570185089810298
VII,B,GOVERNMENT,event,2,0,public security,0.04275540124732424,0.33570279482892895
VII,B,GOVERNMENT,event,2,1,base,0.7369506750047837,0.3327048765284112
VII,B,GOVERNMENT,event,2,1,public security,0.16564765672296794,0.5451082735819418
VII,B,GOVERNMENT,event,2,2,base,0.7838358032634365,0.37829300618592554
VII,B,GOVERNMENT,event,2,2,public security,0.536144156835804,0.5916566851296702
VII,B,GOVERNMENT,event,2,3,base,1.1516731435376357,0.5896274769386788
VII,B,GOVERNMENT,event,2,3,public security,0.36455944964861614,0.6705773944816678
VII,B,GOVERNMENT,event,2,4,base,1.8317487812733646,0.664607697927398
VII,B,GOVERNMENT,event,2,4,public security,0.05258206644747732,0.9171873085390649
VII,B,GOVERNMENT,event,2,5,base,2.191802912695736,0.7534815097761808
VII,B,GOVERNMENT,event,2,5,public security,-0.3644710947072229,0.9730760913855608
VII,B,GOVERNMENT,event,2,6,base,3.127151017444293,1.0206702769473845
VII,B,GOVERNMENT,event,2,6,public security,-0.6173379087354428,1.2347774290665043
VII,B,GOVERNMENT,event,2,7,base,2.9600907789473214,0.9956554654096343
VII,B,GOVERNMENT,event,2,7,public security,0.17323704008846996,1.3069327210534785
VII,B,GOVERNMENT,event,2,8,base,3.1458681661219017,1.0521504358838951
VII,B,GOVERNMENT,event,2,8,public security,-0.05651592915786259,1.4285723509214217
VII,B,GOVERNMENT,event,3,-8,base,0.042726653023363426,0.4976953155797656
VII,B,GOVERNMENT,event,3,-8,public security,-0.19879326083099805,0.45233750876615314
VII,B,GOVERNMENT,event,3,-7,base,-0.0322018767966039,0.4543942177078578
VII,B,GOVERNMENT,event,3,-7,public security,-0.3562411975843218,0.31815447138106195
VII,B,GOVERNMENT,event,3,-6,base,-0.2683103333835113,0.33863395114718214
VII,B,GOVERNMENT,event,3,-6,public security,0.022617906964823024,0.3393058523014209
VII,B,GOVERNMENT,event,3,-5,base,-0.5727880663168896,0.23977720175475012
VII,B,GOVERNMENT,event,3,-5,public security,0.35390233521932,0.35303525098428157
VII,B,GOVERNMENT,event,3,-4,base,-0.50376913202364,0.16444736148781372
VII,B,GOVERNMENT,event,3,-4,public security,0.2989192837826472,0.3210454197118015
VII,B,GOVERNMENT,event,3,-3,base,-0.27049589275556785,0.10212398180983209
VII,B,GOVERNMENT,event,3,-3,public security,0.16556142814641095,0.2952064670771023
VII,B,GOVERNMENT,event,3,-2,base,-0.40864086774666697,0.10899795658745975
VII,B,GOVERNMENT,event,3,-2,public security,-0.16297724363533858,0.1947174851693093
VII,B,GOVERNMENT,event,3,0,base,0.04894929386244806,0.25976210546770423
VII,B,GOVERNMENT,event,3,0,public security,0.37852346844845125,0.24294884959120683
VII,B,GOVERNMENT,event,3,1,base,0.4867823089487682,0.32860551881194994
VII,B,GOVERNMENT,event,3,1,public security,0.5752796854390985,0.34515988998065517
VII,B,GOVERNMENT,event,3,2,base,0.5149614006703129,0.32191835165602606
VII,B,GOVERNMENT,event,3,2,public security,0.9691367728686291,0.31165602821077304
VII,B,GOVERNMENT,event,3,3,base,0.6793859673414899,0.48806977780393307
VII,B,GOVERNMENT,event,3,3,public security,1.2146788203437562,0.5549713911121112
VII,B,GOVERNMENT,event,3,4,base,1.175425714926188,0.6056714320087508
VII,B,GOVERNMENT,event,3,4,public security,1.2775554921920476,0.7618965851413069
VII,B,GOVERNMENT,event,3,5,base,1.630393864994932,0.6420882755329046
VII,B,GOVERNMENT,event,3,5,public security,1.074062091092281,0.8585587037856137
VII,B,GOVERNMENT,event,3,6,base,2.226828575198705,0.8573237349440707
VII,B,GOVERNMENT,event,3,6,public security,1.1062135301508131,1.11144597097544
VII,B,GOVERNMENT,event,3,7,base,2.7665397508817495,0.8407917944300696
VII,B,GOVERNMENT,event,3,7,public security,1.4307109493398846,1.4368220511235568
VII,B,GOVERNMENT,event,3,8,base,3.210481986259046,0.8718935354502502
VII,B,GOVERNMENT,event,3,8,public security,1.373374070405448,1.0932312856858775
VII,B,GOVERNMENT,event_hat_lasso,4,-8,base,0.3585116411384961,0.5621556809919855
VII,B,GOVERNMENT,event_hat_lasso,4,-8,public security,0.3797993279805074,0.5767977019339595
VII,B,GOVERNMENT,event_hat_lasso,4,-7,base,0.1026470087503412,0.4137180891033231
VII,B,GOVERNMENT,event_hat_lasso,4,-7,public security,0.248062557803798,0.32710913823686305
VII,B,GOVERNMENT,event_hat_lasso,4,-6,base,0.11609634670484327,0.3466744818678699
VII,B,GOVERNMENT,event_hat_lasso,4,-6,public security,0.21224710713038555,0.3246248208915649
VII,B,GOVERNMENT,event_hat_lasso,4,-5,base,-0.11379570791242759,0.2671471861316283
VII,B,GOVERNMENT,event_hat_lasso,4,-5,public security,0.3065066987382239,0.2512286591653059
