table,panel,outcome,unrest,column,term,coef,se,N,clusters,omitted,estimator
VII,B,GOVERNMENT,event,2,8 quarters after contract,3.1458681661219017,1.0521504358838951,4345,34,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event,2,8 quarters after contract x public security,-0.05651592915786259,1.4285723509214217,4345,34,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event,3,8 quarters before contract,0.042726653023363426,0.4976953155797656,7493,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event,3,8 quarters before contract x public security,-0.19879326083099805,0.45233750876615314,7493,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event,3,8 quarters after contract,3.210481986259046,0.8718935354502502,7493,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event,3,8 quarters after contract x public security,1.373374070405448,1.0932312856858775,7493,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event_hat_lasso,4,8 quarters before contract,0.3585116411384961,0.5621556809919855,14058,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event_hat_lasso,4,8 quarters before contract x public security,0.3797993279805074,0.5767977019339595,14058,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event_hat_lasso,4,8 quarters after contract,0.7180157707952041,0.4874596395409311,14058,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event_hat_lasso,4,8 quarters after contract x public security,2.3807069496597895,0.7663003238190544,14058,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event_hat_lasso,5,8 quarters before contract,-0.048168295895088725,0.735649545225415,9305,75,semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event_hat_lasso,5,8 quarters before contract x public security,0.7964026511433142,0.7882097414947453,9305,75,semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event_hat_lasso,5,8 quarters after contract,1.4892536816891762,0.7089701230804256,9305,75,semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event_hat_lasso,5,8 quarters after contract x public security,1.4120035753533335,0.9179837369309066,9305,75,semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event_hat_lasso,6,8 quarters before contract,-0.5952164510993145,0.5338772604775367,14058,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
