exhibit,row,col,file,y,cond,kernel,bwselect,masspts,version,N,h_l,h_r,b_l,b_r,tau_cl,se_cl,tau_bc,se_rb,N_h_l,N_h_r,bw_source
T3,resid1_lrze,3,T3_Channels/channels_QJE_final.dta,resid1_lrze,neg_ind0==1,uni,mserd,off,statspai_native,5520,4.87567257645342,4.87567257645342,8.160861096563043,8.160861096563043,603.2127377935916,548.1442234620514,484.80575653029473,627.3492546589957,786,377,
T3,resid1_lrze,3,T3_Channels/channels_QJE_final.dta,resid1_lrze,neg_ind0==1,uni,mserd,off,statspai_matched,5520,3.4508203971222806,3.4508203971222806,6.795413881154215,6.795413881154215,693.7635437437043,595.4939955926467,511.3122562443,597.3553568388849,552,257,rdrobust_py_masspoints_off
T3,resid1_lrze,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lrze,neg_ind0==1,tri,mserd,off,statspai_native,2282,6.095888896920731,6.095888896920731,9.74372484664032,9.74372484664032,78.89212637790712,408.18513935374386,121.50275146685794,491.9033844969318,475,314,
T3,resid1_lrze,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lrze,neg_ind0==1,tri,mserd,off,statspai_matched,2282,7.402782747033759,7.402782747033759,11.298208278905745,11.298208278905745,-99.53474526624598,386.84002599849583,-207.19101173919586,481.7510897790096,623,451,rdrobust_py_masspoints_off
T3,resid1_lrze,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lrze,neg_ind0==1,epa,mserd,off,statspai_native,2282,5.855704832969425,5.855704832969425,9.499626187292154,9.499626187292154,50.02945738633059,416.52824105940454,75.84436065011505,510.0543144404186,441,292,
T3,resid1_lrze,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lrze,neg_ind0==1,epa,mserd,off,statspai_matched,2282,6.564101855976336,6.564101855976336,10.559286520166662,10.559286520166662,-131.59091854479982,410.51482377632107,-233.59930392923837,511.1638279516948,525,368,rdrobust_py_masspoints_off
T3,resid1_lrze,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lrze,neg_ind0==1,uni,mserd,off,statspai_native,2282,4.925200295633647,4.925200295633647,8.128753142132226,8.128753142132226,99.05627623041897,442.218242270496,91.60166365315035,539.6007224173017,348,199,
T3,resid1_lrze,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lrze,neg_ind0==1,uni,mserd,off,statspai_matched,2282,4.641289238109104,4.641289238109104,7.977027047376265,7.977027047376265,293.73488041304995,494.1934052533765,250.92009417785607,577.4844520473802,331,166,rdrobust_py_masspoints_off
T3,resid1_lnv,1,T3_Channels/channels_QJE_final.dta,resid1_lnv,neg_ind0==1,tri,mserd,off,statspai_native,5520,6.084119264081686,6.084119264081686,9.617184108134126,9.617184108134126,-0.0183016007937528,0.21074028309221088,-0.0668604463032508,0.2452420744801245,1025,762,
T3,resid1_lnv,1,T3_Channels/channels_QJE_final.dta,resid1_lnv,neg_ind0==1,tri,mserd,off,statspai_matched,5520,7.427254213006978,7.427254213006978,10.38909076275616,10.38909076275616,0.045220136506874536,0.1867873583312033,-0.007130780763481032,0.2269668695098432,1395,1158,rdrobust_py_masspoints_off
T3,resid1_lnv,2,T3_Channels/channels_QJE_final.dta,resid1_lnv,neg_ind0==1,epa,mserd,off,statspai_native,5520,6.748879731367296,6.748879731367296,9.590875998944338,9.590875998944338,0.052106168531489916,0.19179284471860258,0.004369959590160538,0.23510062406382656,1130,996,
T3,resid1_lnv,2,T3_Channels/channels_QJE_final.dta,resid1_lnv,neg_ind0==1,epa,mserd,off,statspai_matched,5520,7.175744053977564,7.175744053977564,10.137983592735512,10.137983592735512,0.0724794023181117,0.18647193704479162,0.032952339185016014,0.22897436615125172,1342,1107,rdrobust_py_masspoints_off
T3,resid1_lnv,3,T3_Channels/channels_QJE_final.dta,resid1_lnv,neg_ind0==1,uni,mserd,off,statspai_native,5520,7.137406021526788,7.137406021526788,10.07206977806031,10.07206977806031,0.10854903483226358,0.17600146897437446,0.07998334774957944,0.23414694606142947,1342,1107,
T3,resid1_lnv,3,T3_Channels/channels_QJE_final.dta,resid1_lnv,neg_ind0==1,uni,mserd,off,statspai_matched,5520,6.617314444390193,6.617314444390193,10.176941206566,10.176941206566,0.11226794519230837,0.18365114838851024,0.06972872196710736,0.22644128479561906,1106,988,rdrobust_py_masspoints_off
T3,resid1_lnv,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv,neg_ind0==1,tri,mserd,off,statspai_native,2272,3.9953627789463177,3.9953627789463177,7.765537393941827,7.765537393941827,-0.14960230521274048,0.1357322376354353,-0.1843091908408365,0.15511528890845083,289,161,
