exhibit,row,col,file,y,cond,kernel,bwselect,masspts,N,h_l,h_r,b_l,b_r,tau_cl,se_cl,tau_bc,se_rb,N_h_l,N_h_r
T7,firm_big0,1,T7_Burden/big_vs_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & firm_big==0,tri,mserd,off,1829,4.5887275,4.5887275,6.247015,6.247015,.057288978,.40655252,-.044685725,.45514458,226,106
T7,firm_big0,2,T7_Burden/big_vs_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & firm_big==0,epa,mserd,off,1829,5.1163077,5.1163077,6.7492652,6.7492652,.13463514,.35939232,.02609924,.44506088,260,142
T7,firm_big0,3,T7_Burden/big_vs_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & firm_big==0,uniform,mserd,off,1829,3.7574639,3.7574639,5.7385798,5.7385798,.16909459,.39243618,.074898288,.46019182,188,96
T7,firm_big0,4,T7_Burden/big_vs_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & firm_big==0,tri,mserd,off,3981,4.1992617,4.1992617,8.4290113,8.4290113,-.014861765,.15507498,-.060814548,.18905164,599,292
T7,firm_big0,5,T7_Burden/big_vs_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & firm_big==0,epa,mserd,off,3981,3.7975821,3.7975821,7.6864161,7.6864161,-.044762973,.16281727,-.064564086,.2126603,558,257
T7,firm_big0,6,T7_Burden/big_vs_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & firm_big==0,uniform,mserd,off,3981,4.02104,4.02104,9.4170685,9.4170685,.042417414,.17572893,-.0050279461,.18275021,592,284
T7,firm_big1,1,T7_Burden/big_vs_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & firm_big==1,tri,mserd,off,4818,5.1466184,5.1466184,7.8667054,7.8667054,.48548314,.16243149,.5170511,.18890816,766,378
T7,firm_big1,2,T7_Burden/big_vs_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & firm_big==1,epa,mserd,off,4818,4.846478,4.846478,7.7449136,7.7449136,.51850396,.17335258,.55057049,.19883065,709,310
T7,firm_big1,3,T7_Burden/big_vs_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & firm_big==1,uniform,mserd,off,4818,4.7561097,4.7561097,8.6876698,8.6876698,.51718861,.1746031,.53793865,.193389,692,304
T7,firm_big1,4,T7_Burden/big_vs_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & firm_big==1,tri,mserd,off,8765,5.0793395,5.0793395,8.0795898,8.0795898,.024019372,.11114884,.026958751,.13078947,1536,808
T7,firm_big1,5,T7_Burden/big_vs_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & firm_big==1,epa,mserd,off,8765,5.2423873,5.2423873,8.7189035,8.7189035,.03155753,.11191573,.033891335,.13162458,1644,859
T7,firm_big1,6,T7_Burden/big_vs_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & firm_big==1,uniform,mserd,off,8765,5.7552605,5.7552605,9.3903131,9.3903131,.019863043,.0977166,-.007042299,.11707608,1823,1036
T7,nsbd1,1,T7_Burden/NSBD_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & nsbd_c==1,epa,mserd,off,933,5.7114124,5.7114124,10.713493,10.713493,.8907572,.30954033,.97694528,.25250918,122,133
T7,nsbd1,2,T7_Burden/NSBD_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & nsbd_c==1,tri,mserd,off,933,6.6889195,6.6889195,12.31632,12.31632,.68902016,.32273623,.82225531,.27025416,122,292
T7,nsbd1,3,T7_Burden/NSBD_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & nsbd_c==1,uni,mserd,off,933,4.9691958,4.9691958,11.376418,11.376418,.93532044,.30991071,1.0118209,.30924588,69,11
T7,nsbd1,4,T7_Burden/NSBD_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & nsbd_c==1,epa,mserd,off,1429,5.0163703,5.0163703,9.6946325,9.6946325,.16509223,.16143896,.13730779,.298563,101,10
T7,nsbd1,5,T7_Burden/NSBD_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & nsbd_c==1,tri,mserd,off,1429,5.7151666,5.7151666,12.174828,12.174828,.10006066,.18183424,.024381805,.33468899,195,111
T7,nsbd1,6,T7_Burden/NSBD_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & nsbd_c==1,uni,mserd,off,1429,8.3753595,8.3753595,16.527565,16.527565,.050599892,.24738044,.080727421,.31703231,212,573
T7,nsbd0,1,T7_Burden/NSBD_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & nsbd_c==0,epa,mserd,off,4998,4.5215545,4.5215545,7.2444897,7.2444897,.38196886,.19107018,.4044506,.23324564,711,349
T7,nsbd0,2,T7_Burden/NSBD_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & nsbd_c==0,tri,mserd,off,4998,5.1031976,5.1031976,7.9297094,7.9297094,.34630013,.17829621,.36641684,.21616565,809,431
T7,nsbd0,3,T7_Burden/NSBD_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & nsbd_c==0,uni,mserd,off,4998,3.877413,3.877413,6.6704106,6.6704106,.35904124,.18128987,.36372423,.23344977,638,329
T7,nsbd0,4,T7_Burden/NSBD_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & nsbd_c==0,epa,mserd,off,9739,4.9721994,4.9721994,8.8127956,8.8127956,.13174054,.10979751,.13614157,.13511723,1789,997
T7,nsbd0,5,T7_Burden/NSBD_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & nsbd_c==0,tri,mserd,off,9739,5.7178726,5.7178726,9.4589987,9.4589987,.10688577,.099004775,.10966366,.12719183,2076,1209
T7,nsbd0,6,T7_Burden/NSBD_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & nsbd_c==0,uni,mserd,off,9739,4.4976392,4.4976392,8.3851843,8.3851843,.10836108,.11179715,.079125993,.13246909,1629,905
T5,resid_log_cod@msecomb1,3,T5_Emissions/water_emission_QJE_final.dta,resid_log_cod,1,uni,msecomb1,off,9797,3.5425866,3.5425866,6.6728382,6.6728382,.73374444,.35339862,.9560045,.42255419,1051,614
